Points with non-zero HEIDI values:
Point 151 -> Point 151, HEIDI Value: 3.0000
Point 152 -> Point 93, HEIDI Value: 3.0000
Point 152 -> Point 152, HEIDI Value: 3.0000
Point 152 -> Point 156, HEIDI Value: 3.0000
Point 153 -> Point 28, HEIDI Value: 3.0000
Point 153 -> Point 153, HEIDI Value: 3.0000
Point 153 -> Point 161, HEIDI Value: 3.0000
Point 154 -> Point 26, HEIDI Value: 3.0000
Point 154 -> Point 154, HEIDI Value: 3.0000
Point 154 -> Point 217, HEIDI Value: 3.0000
Point 155 -> Point 114, HEIDI Value: 3.0000
Point 155 -> Point 155, HEIDI Value: 3.0000
Point 155 -> Point 172, HEIDI Value: 3.0000
Point 156 -> Point 15, HEIDI Value: 3.0000
Point 156 -> Point 152, HEIDI Value: 3.0000
Point 156 -> Point 156, HEIDI Value: 3.0000
Point 157 -> Point 157, HEIDI Value: 3.0000
Point 158 -> Point 118, HEIDI Value: 3.0000
Point 158 -> Point 158, HEIDI Value: 3.0000
Point 158 -> Point 234, HEIDI Value: 3.0000
Point 159 -> Point 159, HEIDI Value: 3.0000
Point 160 -> Point 160, HEIDI Value: 3.0000
Point 160 -> Point 229, HEIDI Value: 3.0000
Point 160 -> Point 291, HEIDI Value: 3.0000
Point 161 -> Point 153, HEIDI Value: 3.0000
Point 161 -> Point 161, HEIDI Value: 3.0000
Point 161 -> Point 282, HEIDI Value: 3.0000
Point 162 -> Point 162, HEIDI Value: 3.0000
Point 163 -> Point 163, HEIDI Value: 3.0000
Point 164 -> Point 164, HEIDI Value: 3.0000
Point 165 -> Point 165, HEIDI Value: 3.0000
Point 166 -> Point 129, HEIDI Value: 3.0000
Point 166 -> Point 166, HEIDI Value: 3.0000
Point 166 -> Point 206, HEIDI Value: 3.0000
Point 167 -> Point 125, HEIDI Value: 3.0000
Point 167 -> Point 167, HEIDI Value: 3.0000
Point 167 -> Point 186, HEIDI Value: 3.0000
Point 168 -> Point 168, HEIDI Value: 3.0000
Point 168 -> Point 187, HEIDI Value: 3.0000
Point 168 -> Point 276, HEIDI Value: 3.0000
Point 169 -> Point 169, HEIDI Value: 3.0000
Point 169 -> Point 261, HEIDI Value: 3.0000
Point 169 -> Point 271, HEIDI Value: 3.0000
Point 170 -> Point 40, HEIDI Value: 3.0000
Point 170 -> Point 56, HEIDI Value: 3.0000
Point 170 -> Point 109, HEIDI Value: 3.0000
Point 170 -> Point 170, HEIDI Value: 3.0000
Point 170 -> Point 237, HEIDI Value: 3.0000
Point 171 -> Point 171, HEIDI Value: 3.0000
Point 171 -> Point 205, HEIDI Value: 3.0000
Point 171 -> Point 228, HEIDI Value: 3.0000
Point 172 -> Point 113, HEIDI Value: 3.0000
Point 172 -> Point 155, HEIDI Value: 3.0000
Point 172 -> Point 172, HEIDI Value: 3.0000
Point 173 -> Point 173, HEIDI Value: 3.0000
Point 174 -> Point 37, HEIDI Value: 3.0000
Point 174 -> Point 174, HEIDI Value: 3.0000
Point 174 -> Point 264, HEIDI Value: 3.0000
Point 175 -> Point 114, HEIDI Value: 3.0000
Point 175 -> Point 175, HEIDI Value: 3.0000
Point 175 -> Point 269, HEIDI Value: 3.0000
Point 176 -> Point 130, HEIDI Value: 3.0000
Point 176 -> Point 176, HEIDI Value: 3.0000
Point 176 -> Point 209, HEIDI Value: 3.0000
Point 177 -> Point 177, HEIDI Value: 3.0000
Point 178 -> Point 117, HEIDI Value: 3.0000
Point 178 -> Point 178, HEIDI Value: 3.0000
Point 178 -> Point 266, HEIDI Value: 3.0000
Point 179 -> Point 179, HEIDI Value: 3.0000
Point 180 -> Point 180, HEIDI Value: 3.0000
Point 180 -> Point 234, HEIDI Value: 3.0000
Point 180 -> Point 241, HEIDI Value: 3.0000
Point 181 -> Point 181, HEIDI Value: 3.0000
Point 182 -> Point 150, HEIDI Value: 3.0000
Point 182 -> Point 182, HEIDI Value: 3.0000
Point 182 -> Point 197, HEIDI Value: 3.0000
Point 183 -> Point 135, HEIDI Value: 3.0000
Point 183 -> Point 183, HEIDI Value: 3.0000
Point 183 -> Point 240, HEIDI Value: 3.0000
Point 184 -> Point 184, HEIDI Value: 3.0000
Point 185 -> Point 145, HEIDI Value: 3.0000
Point 185 -> Point 185, HEIDI Value: 3.0000
